Iteration,Discriminator Loss,Generator Loss
0,0.700657,0.694206
10,0.226602,1.584808
20,0.026504,3.746002
30,0.029984,4.463159
40,0.230529,3.008762
50,0.498499,1.983471
60,0.645047,2.284986
70,0.824081,2.118091
80,0.961414,1.929392
90,0.799688,1.580948
100,0.965345,1.783102
110,1.243331,1.206191
120,2.117736,4.389280
130,16.398186,0.001665
140,11.945410,0.000000
150,2.025233,1.161813
160,2.585730,7.156651
170,2.405503,0.562694
180,3.309340,9.169144
190,3.339627,8.973043
200,9.208712,6.915809
210,14.150728,0.000000
220,23.045010,0.029814
230,5.113470,10.382963
240,6.211581,10.735195
250,3.237774,4.146121
260,5.674080,11.883869
270,10.997137,0.000000
280,3.789957,1.010924
290,8.382020,20.720161
300,19.874962,4.232679
310,3.293740,3.380952
320,20.643959,0.000000
330,18.518602,0.000000
340,17.988937,6.652746
350,25.192163,0.481184
360,3.367115,0.016623
370,3.901073,0.000005
380,5.445236,0.000000
390,12.993551,0.000000
400,19.543133,0.000001
410,7.241085,0.000043
420,7.951139,0.000000
430,7.217731,0.000002
440,6.104050,0.000017
450,7.367318,0.000030
460,1.017170,0.847551
470,3.049289,0.000012
480,7.571442,24.123169
490,0.524773,8.413910
500,0.182702,5.369926
510,0.003741,14.707220
520,0.024967,34.804501
530,0.157064,0.716847
540,14.169357,0.000826
550,14.309666,0.000006
560,14.216230,0.000000
570,3.472642,0.000009
580,18.562469,0.000002
590,1.756249,6.758102
600,2.213589,0.000000
610,13.015820,0.000003
620,1.696150,4.005642
630,1.996423,4.813929
640,6.043959,0.000022
650,6.655917,0.000122
660,2.139298,0.000064
670,6.578134,4.473827
680,5.373858,5.034276
690,5.249211,4.435640
700,6.284737,2.892198
710,5.716429,3.615842
720,4.432780,0.029077
730,4.786385,0.017493
740,5.488216,0.136764
750,8.203718,0.234277
760,4.459606,0.004895
770,8.890194,9.011082
780,2.511419,8.828295
790,5.563260,3.732838
800,5.262933,3.248667
810,3.698356,4.204257
820,4.531620,3.706366
830,3.011904,4.885966
840,3.771700,3.763780
850,4.443804,3.369277
860,3.791087,3.925256
870,2.333783,0.212884
880,3.119724,0.139816
890,2.112698,0.240246
900,4.621694,0.622872
910,4.420403,0.080042
920,1.448626,4.447612
930,4.132805,0.167046
940,3.356980,9.819407
950,3.082004,5.463117
960,2.792347,3.913653
970,4.426942,2.462708
980,5.111798,1.610589
990,1.675427,0.889772
1000,1.527392,0.334770
1010,2.426089,0.045472
1020,1.999893,0.099666
1030,2.011125,0.163986
1040,1.726110,0.348610
1050,1.416683,0.714912
1060,1.392495,0.794419
1070,1.375217,0.794127
1080,1.351976,0.854005
1090,1.342198,0.758890
1100,1.355617,0.674851
1110,1.342572,0.699150
1120,1.369277,0.619732
1130,1.420521,0.527148
1140,1.371895,0.731490
1150,1.374497,0.644952
1160,1.361470,0.622663
1170,1.347513,0.608703
1180,1.356395,0.842939
1190,1.363848,0.904149
1200,1.314281,0.831203
1210,1.291086,0.792316
1220,1.283664,0.602794
1230,1.282778,0.499163
1240,1.316691,0.518946
1250,1.193104,0.569511
1260,1.226642,0.569594
1270,1.228478,0.565003
1280,1.244020,0.500724
1290,1.221931,0.611771
1300,1.277204,0.584247
1310,1.270613,0.597578
1320,1.297121,0.578122
1330,1.359267,0.667836
1340,1.393162,0.887614
1350,1.361012,0.766799
1360,1.396191,0.625076
1370,1.378531,0.582924
