Iteration,Discriminator Loss,Generator Loss
0,0.387720,0.810903
10,0.314410,2.412082
20,0.190425,0.757673
30,0.198513,2.885588
40,0.152163,3.180711
50,0.076035,2.898705
60,0.237707,2.852989
70,0.093820,3.277162
80,0.051508,4.246275
90,0.079687,3.762720
100,0.029379,3.715952
110,0.071943,3.620757
120,0.037373,3.416219
130,0.186496,2.328923
140,0.131798,3.036369
150,0.101616,1.934437
160,0.195470,2.627210
170,0.298588,2.339774
180,0.362924,2.168542
190,0.390121,2.107054
200,0.439521,2.048198
210,0.338915,1.680734
220,0.348127,1.649670
230,0.327329,2.303523
240,0.299404,2.418882
250,0.413959,1.967351
260,0.412843,1.865848
270,0.401067,1.570791
280,0.452860,1.790363
290,0.354069,1.383600
300,0.374399,2.194754
310,0.387241,1.935325
320,0.412095,1.666422
330,0.397799,1.461181
340,0.395202,1.935723
350,0.336258,1.759566
360,0.445500,2.040132
370,0.368157,2.315309
380,0.379519,2.104106
390,0.448372,1.932983
400,0.417629,2.058573
410,0.462898,1.936838
420,0.359700,2.102148
430,0.484833,1.647022
440,0.493232,1.605888
450,0.431745,1.652296
460,0.392035,1.731441
470,0.397976,1.604402
480,0.422740,1.763360
490,0.384794,1.735404
500,0.351966,1.759329
510,0.441587,2.005891
520,0.457443,2.009426
530,0.401152,2.031459
540,0.414706,1.791580
550,0.428483,1.636858
560,0.443553,1.579206
570,0.357291,1.169386
580,0.324150,1.073576
590,0.332472,1.766445
600,0.433999,1.329987
610,0.341397,1.873497
620,0.398979,1.511415
630,0.328528,1.134664
640,0.298900,1.215302
650,0.376021,1.643220
660,0.326027,1.565515
670,0.437983,1.719406
680,0.393752,1.962053
690,0.407988,1.012255
700,0.335446,1.412668
710,0.484397,1.561373
720,0.379689,1.444013
730,0.332136,1.557963
740,0.350554,1.180359
750,0.356793,0.935617
760,0.391311,1.741987
770,0.402604,1.710576
780,0.338626,1.943202
790,0.351123,1.821588
800,0.369179,1.780668
810,0.450593,1.675282
820,0.433149,1.406035
830,0.409488,1.318594
840,0.287831,1.491865
850,0.392983,2.055037
860,0.407201,1.839227
870,0.354060,1.933486
880,0.397448,1.740176
890,0.354496,1.753818
900,0.377344,1.660224
910,0.368457,1.252709
920,0.418667,1.597637
930,0.389925,1.828077
940,0.329385,1.817723
950,0.391096,1.635298
960,0.356764,1.912573
970,0.417244,1.554052
980,0.347484,1.813075
990,0.307082,1.538488
1000,0.414076,1.310372
1010,0.393765,1.464369
1020,0.348724,1.705867
1030,0.388527,1.213383
1040,0.357121,1.298179
1050,0.365359,1.732121
1060,0.320321,1.809030
1070,0.386808,1.569098
1080,0.388930,1.351626
1090,0.377473,1.463788
1100,0.315554,1.822481
1110,0.353825,1.943830
1120,0.396280,1.481384
1130,0.351345,1.842553
1140,0.353503,1.461887
1150,0.391722,1.547194
1160,0.344349,1.757274
1170,0.320995,1.159457
1180,0.289434,1.886618
1190,0.407555,1.511784
1200,0.385166,1.311148
1210,0.435224,1.515711
1220,0.337128,1.160299
1230,0.460595,1.634568
1240,0.461830,1.704371
1250,0.469184,1.444411
1260,0.435321,1.610290
1270,0.381041,1.543192
1280,0.381420,1.794316
1290,0.333024,1.841147
1300,0.415378,1.823687
1310,0.383639,1.703335
1320,0.311741,1.495049
1330,0.325919,1.063442
1340,0.352368,0.994862
1350,0.305969,1.068125
1360,0.396255,1.426591
1370,0.388255,1.294153
1380,0.336085,1.208321
1390,0.354441,1.302671
1400,0.291933,1.844741
1410,0.337292,1.486642
1420,0.409637,1.709304
1430,0.404921,1.682609
1440,0.321604,1.440163
1450,0.380566,1.884254
1460,0.386791,1.512081
1470,0.442594,1.532467
1480,0.414836,1.547760
1490,0.373688,1.763337
1500,0.374406,1.811283
1510,0.387575,1.760849
1520,0.355244,1.698879
1530,0.423161,1.739648
1540,0.407470,1.638050
1550,0.273759,1.559585
1560,0.250012,1.146516
1570,0.419270,1.803124
1580,0.322877,2.003915
1590,0.326108,1.953570
1600,0.381189,1.860337
1610,0.313883,1.384058
1620,0.381960,1.437591
1630,0.419957,1.457905
1640,0.381731,1.535274
1650,0.349092,1.389900
1660,0.457738,1.573533
1670,0.222227,0.698895
1680,0.284958,1.349584
1690,0.309045,1.367451
1700,0.325460,1.605576
1710,0.291369,1.332106
1720,0.331016,1.282982
1730,0.437437,1.507365
1740,0.404900,1.339393
1750,0.318905,1.498682
1760,0.468590,1.386942
1770,0.366716,1.478138
1780,0.416878,1.327600
1790,0.298866,1.116939
1800,0.284402,0.854755
1810,0.271891,1.045717
1820,0.245452,1.863733
1830,0.352882,1.607251
1840,0.293756,1.517602
1850,0.422080,1.179525
1860,0.347533,1.469594
1870,0.332656,1.749691
1880,0.383483,1.399981
1890,0.368472,1.488044
1900,0.246137,1.303979
1910,0.264714,1.153300
1920,0.172313,1.065915
1930,0.199343,0.938744
1940,0.246822,0.934176
1950,0.208021,1.443069
1960,0.336301,1.390256
1970,0.215893,0.880734
1980,0.228780,0.883631
1990,0.265766,1.665306
2000,0.379754,1.884342
2010,0.431886,1.423176
2020,0.295139,1.363472
2030,0.296048,1.483740
2040,0.314771,1.859053
2050,0.258497,1.866429
2060,0.397072,1.516979
2070,0.283829,1.310448
2080,0.311772,1.707341
2090,0.310468,1.477729
2100,0.253118,1.631135
2110,0.224119,1.148458
2120,0.338518,0.972388
2130,0.240008,1.035374
2140,0.341917,1.628557
2150,0.220657,1.252980
2160,0.347236,1.603045
2170,0.338998,1.392664
2180,0.322979,1.656566
2190,0.176072,1.015351
2200,0.310895,1.377666
2210,0.297428,1.068387
2220,0.266258,0.955058
2230,0.256805,1.017980
2240,0.277937,1.319637
2250,0.328445,1.243902
2260,0.209168,0.787311
2270,0.275902,1.156665
2280,0.300401,0.942020
2290,0.330940,2.007245
2300,0.277773,0.928126
2310,0.401926,1.493274
2320,0.456921,1.350603
2330,0.353140,1.817331
2340,0.460714,1.398004
2350,0.299728,1.654461
2360,0.243394,0.907656
2370,0.282694,1.246989
2380,0.399921,1.729719
2390,0.328188,1.279621
2400,0.423540,1.236377
2410,0.213513,1.072041
2420,0.356180,1.593809
2430,0.400174,1.553963
2440,0.402457,1.403308
2450,0.329441,1.417040
2460,0.281950,1.132815
2470,0.265026,1.587785
2480,0.275371,1.417172
2490,0.353346,1.414972
2500,0.292188,1.488909
2510,0.268474,1.132257
2520,0.385521,1.428010
2530,0.379195,1.670393
2540,0.331701,1.918677
2550,0.368724,1.388963
2560,0.340148,1.010630
2570,0.430300,1.486110
2580,0.318160,1.571880
2590,0.394338,1.126582
2600,0.337119,1.553069
2610,0.356329,1.496125
2620,0.398333,1.596138
2630,0.316354,1.446958
2640,0.283708,1.809567
2650,0.328179,1.663599
2660,0.301776,1.440246
2670,0.343277,1.261725
2680,0.348657,1.531359
2690,0.277008,0.916939
2700,0.181833,1.202584
2710,0.266685,2.274182
2720,0.351342,1.884546
2730,0.314096,1.586798
2740,0.295249,1.932951
2750,0.324224,1.397669
2760,0.345292,2.109059
2770,0.381288,1.790717
